group,class_id,subject_id,event_id,source_folder,whole_contact_area,whole_global_peak_pressure,whole_total_pti,whole_contact_duration_proxy,whole_total_plantar_load_proxy,heel_contact_area,heel_global_peak_pressure,heel_total_pti,heel_contact_duration_proxy,heel_total_plantar_load_proxy,mid_contact_area,mid_global_peak_pressure,mid_total_pti,mid_contact_duration_proxy,mid_total_plantar_load_proxy,fore_contact_area,fore_global_peak_pressure,fore_total_pti,fore_contact_duration_proxy,fore_total_plantar_load_proxy
GC,0,GC_19,GC_19_Marche1_event_001,GC_19\GC_19_Marche1_event_001,151.0,41.07806831059486,749.3685829857552,0.96875,871.3588174252969,51.0,25.756569180407134,224.67440412079682,1.0,261.2493071172056,18.0,10.260538183208293,66.21164215761988,1.0,76.99028157862776,82.0,41.07806831059486,458.48253670733857,0.9333333333333333,533.1192287294634
GC,0,GC_19,GC_19_Marche1_event_002,GC_19\GC_19_Marche1_event_002,127.0,46.8791361714846,908.6790501194287,0.75,882.2126700188628,44.0,32.33617333217969,326.44881899907523,0.8,316.9406009699759,6.0,7.934968363960008,51.69385222214796,0.2857142857142857,50.18820604092034,77.0,46.8791361714846,530.5363788982056,0.9333333333333333,515.0838630079666
GC,0,GC_19,GC_19_Marche1_event_003,GC_19\GC_19_Marche1_event_003,125.0,49.208365732859576,904.3452294677904,0.78125,845.1824574465331,43.0,25.859316347573454,255.06995501093562,0.9,238.38313552423887,6.0,7.473269610465526,51.33235931198212,0.2857142857142857,47.974167581291695,76.0,49.208365732859576,597.9429151448728,0.9333333333333333,558.8251543410025
GC,0,GC_19,GC_19_Marche1_event_004,GC_19\GC_19_Marche1_event_004,139.0,44.95982593581538,1022.0454968162994,0.8064516129032258,866.1402515392369,45.0,29.138404617378903,317.3517014019669,0.9,268.9421198321754,5.0,9.427517567527287,34.646438513340286,0.3333333333333333,29.361388570627362,89.0,44.95982593581538,670.0473569009921,0.9333333333333333,567.836743136434
GC,0,GC_19,GC_19_Marche1_event_005,GC_19\GC_19_Marche1_event_005,125.0,40.12735786467188,918.488902917275,0.7419354838709677,866.4989650162972,44.0,25.62237882588113,271.49277067610683,0.9,256.1252553548178,1.0,5.208734929443422,41.42331588910896,0.16666666666666666,39.07859989538582,80.0,40.12735786467188,605.5728163520592,0.8666666666666667,571.2951097660937
GC,0,GC_20,GC_20_Marche1_event_001,GC_20\GC_20_Marche1_event_001,129.0,37.49028220899525,734.3349742723657,0.7272727272727273,966.2302293057444,50.0,32.7088445042604,271.3877642025692,0.9,357.0891634244331,2.0,5.055929746664128,25.03429501108096,0.14285714285714285,32.939861856685475,77.0,37.49028220899525,437.9129150587156,0.875,576.2012040246259
GC,0,GC_20,GC_20_Marche1_event_002,GC_20\GC_20_Marche1_event_002,142.0,35.70077557738628,819.144963633526,0.8125,986.9216429319591,53.0,29.367719467291195,293.12256990965295,1.0,353.1597227827144,7.0,7.368926631207891,55.905567600465666,0.42857142857142855,67.35610554272972,82.0,35.70077557738628,470.1168261234076,0.8666666666666667,566.4058146065152
GC,0,GC_20,GC_20_Marche1_event_003,GC_20\GC_20_Marche1_event_003,138.0,31.773989585121,740.7305526892626,0.75,974.6454640648191,51.0,31.13725928410284,229.5632566888552,0.9,302.0569166958621,2.0,5.293437128423643,52.41041999881496,0.14285714285714285,68.96107894580915,85.0,31.773989585121,458.75687600159233,0.9333333333333333,603.6274684231478
GC,0,GC_20,GC_20_Marche1_event_004,GC_20\GC_20_Marche1_event_004,144.0,32.2753767110947,799.0345874728316,0.9354838709677419,998.7932343410395,54.0,27.611240964492048,258.4005443337472,1.0,323.00068041718396,11.0,7.024206030084141,54.07743705914955,1.0,67.59679632393694,79.0,32.2753767110947,486.5566060799349,0.8666666666666667,608.1957575999186
GC,0,GC_20,GC_20_Marche1_event_005,GC_20\GC_20_Marche1_event_005,136.0,35.94660767556016,844.5867317899281,0.9375,982.0775951045675,51.0,29.35519611320188,281.19313297284884,1.0,326.9687592707545,16.0,8.148607650052522,71.85989382111546,1.0,83.55801607106449,69.0,35.94660767556016,491.5337049959637,0.8666666666666667,571.5508197627486
